de-DE;ESDVS2019PRML;205839;VSP PRO 2018;69,99;48,99;;30 %;-30%;-$21
de-DE;ESDVS2019PRMLUG;205840;VSP PRO 2018;49,99;34,99;;30 %;-30%;-$15
en-CA;ESDVS2019PRML;205839;VSP PRO 2018;79.99;54.99;;30%;-31%;-$25
en-CA;ESDVS2019PRMLUG;205840;VSP PRO 2018;59.99;39.99;;30%;-33%;-$20
en-GB;ESDVS2019PRML;205839;VSP PRO 2018;69.99;48.99;;30%;-30%;-$21
en-GB;ESDVS2019PRMLUG;205840;VSP PRO 2018;49.99;34.99;;30%;-30%;-$15
en-US;ESDVS2019PRML;205839;VSP PRO 2018;79.99;54.99;;30%;-31%;-$25
en-US;ESDVS2019PRMLUG;205840;VSP PRO 2018;59.99;39.99;;30%;-33%;-$20
fr-FR;ESDVS2019PRML;205839;VSP PRO 2018;69,99;48,99;;30 %;-30%;-$21
fr-FR;ESDVS2019PRMLUG;205840;VSP PRO 2018;49,99;34,99;;30 %;-30%;-$15
ja-JP;ESDVS2019PRML;205839;VSP PRO 2018;13,824;9,680;;30%;-30%;"-$4;148"
ja-JP;ESDVS2019PRMLUG;205840;VSP PRO 2018;7,538;5,280;;30%;-30%;"-$2;262"
